city_id,city,Cloudiness,Humidity,Latitude,Longitude,Country,Max Temp,Wind Speed
410,japura,3,97,-0.32,102.35,ID,73.6,1.25
411,paciran,7,80,-6.88,112.38,ID,76.71,8.9
412,sinegorye,87,78,62.08,150.48,RU,59.02,1.63
413,springbok,0,40,-29.66,17.89,ZA,53.02,15.57
414,los llanos de aridane,20,78,28.66,-17.92,ES,71.6,11.41
415,dir,88,64,35.21,71.88,PK,70.57,2.48
416,deputatskiy,36,75,69.3,139.9,RU,41.77,3.02
417,eisenberg,51,71,50.97,11.9,DE,59.0,5.3
418,draguignan,70,53,43.53,6.47,FR,77.0,5.82
419,saint-augustin,48,45,51.23,-58.65,CA,70.52,16.8
420,metlaltoyuca,40,59,20.73,-97.85,MX,93.2,11.41
421,manjeshwar,90,94,12.72,74.89,IN,75.2,14.14
422,portland,40,53,45.52,-122.68,US,82.0,4.7
423,kavaratti,99,80,10.57,72.64,IN,82.92,24.67
424,alta floresta,20,25,-9.88,-56.09,BR,96.8,4.7
425,cayenne,100,70,4.93,-52.33,GF,86.0,3.36
426,souillac,40,77,-20.52,57.52,MU,69.8,8.05
427,brae,100,93,60.4,-1.35,GB,55.4,11.41
428,urengoy,27,91,65.97,78.37,RU,43.86,9.69
429,collie,33,90,-33.37,116.15,AU,46.99,5.1
430,dunedin,43,75,-45.87,170.5,NZ,39.99,13.0
431,fallon,40,8,39.47,-118.78,US,95.0,3.36
432,ganzhou,100,91,28.82,115.43,CN,77.31,2.17
433,nyagan,100,95,62.14,65.39,RU,65.61,5.1
434,chapais,90,93,49.78,-74.85,CA,64.4,12.75
435,mezen,99,71,65.85,44.24,RU,51.84,4.92
436,lieksa,3,68,63.32,30.02,FI,53.2,7.25
437,gravdal,40,87,68.12,13.5,NO,57.2,8.05
438,bangassou,100,96,4.74,22.82,CF,70.41,2.93
439,altamont,1,20,42.21,-121.74,US,90.0,4.7
440,camana,64,72,-16.62,-72.71,PE,64.24,6.42
441,maniitsoq,7,82,65.42,-52.9,GL,46.63,8.39
